apps,entity density,summary,pos_ents,neg_ents,neu_ents,#entities,entity density,#raw_tokens,#tokens
Uber,0.045454545454545456,"Uber drivers are getting lazy to accepts rides if they don’t get more than $10 for that ride!We have used Uber 4 times in last 6 months and a few other times prior.If u tell me 11 min before driver comes them i hv that 11 min.But it’s fine I use Lyft when using Lyft and no issues.The driver was fantastic very personable and very customer service oriented.I accidentally tip the driver twice because the email receipt was very confusing.Uber, Lyft n Uber, Lyft drivers are cheaters and thieves!!The driver then said some inaudible comment and hung up.Also, the driver’s fragrance was not “high octane” and the music was not LOUD.They're gonna get an earful - that is - if they had a phone number to teach them on, which the DO NOT!!",,accepts rides;driver was fantastic very personable and very customer service oriented;email receipt;tip the driver;inaudible comment;phone number to teach them on,,6,0.045454545454545456,155,132
Lyft,0.03508771929824561,"20 minute waits for a 5 minute ride, then drivers cancel 10 minutes into waiting.if there aren't drivers, don't promise drivers.this driver and his company are a joke uber is better times 1,000. use uberthis price was a fair price but at other times the prices get really high !my driver was courteous, attentive, and an excellent driver.10  min ride took over 1 h 20min.our driver dropped us off 7 miles from our destination because lyft gps was not accurate.i know y'all gotta pay y'all drivers and y'all selves but some of us struggling too.i requested a ride at 238 atlantic ave, going to 360 furman street.my driver who picked me up at juniors and took me to macys was amazing.",,"drivers cancel 10 minutes into waiting;prices get really high;driver was courteous, attentive, and an excellent driver;gps was not accurate",,4,0.03508771929824561,131,114
Tinder,0.07142857142857142,"They made it so when you get banned, you can’t ask why, they don’t tell you why you got banned.Been having the same 12 matches for over a month with countless swipes and no matches.What’s the point of having a verification system if 90 percent of the “verified” accounts are bots and scam accounts.NOW, for whatever reason, I have 50+ notifications that I have unopened messages or unopened matches.Between the garbage dating pool and the garbage app you are better off just using Instagram for dating.All swipes are erased when I close it and if deleted two of my pics off my profile.I did report many profiles with fake Snapchat usernames in their bio but my profile and bio was far from intimidating or a violation.",,banned;same 12 matches for over a month;countless swipes;no matches;bots;scam accounts;notifications that I have unopened messages or unopened matches;swipes are erased when I close it and;fake Snapchat usernames,,9,0.07142857142857142,139,126
Bumble,0.08064516129032258,"You don’t get to see all your likes, you only get to see the recent 10 people that liked you.You get more results in tinder and more swipes on the tinder and their timer works Accordingly.Or you pay a hefty subscription fee to 'reactivate' your chats and matches.If you swipe accidentally swipe left, you can undo it.Annoyed bc bumble BFF only matches me with ppl of my gender (women).Is the CCP now in charge of this one like they are Tik Tok ?So if the person you match with doesn’t message with in 24’s you’re unmatched lol.This dating app is full of scammers and fake profiles.My beehive has two matches , they are pixelated, but one of them is clearly bot Rena.",,"see all your likes,;more results;more swipes;timer;subscription fee;swipe accidentally swipe left, you can undo it;bumble BFF only matches;scammers;fake profiles;bot",,10,0.08064516129032258,139,124
Robinhood,0.034482758620689655,"They made it easy to trade stocks, buy stocks.You own rights to make money on crypto (if they don’t have technically difficulties), but you don’t own the crypto itself.I deleted my account, just like I deleted my accounts for the other 2 cryptocurrency apps.Stocks like GME aka Gamestop.There are thousands and thousands of people who have lost money and been generally burnt by this app.Don’t sell out like Instagram to fb but instead, be the Snapchat that this company is.I’ve tried other platforms but RH has the best layout and user friendly.I beg of you Do not invest money, long-term in Robin Hood!!!Ease of use amazing, ability to execute trades amazing.",easy to trade stocks;make money on crypto;layout and user friendly,lost money and,,4,0.034482758620689655,132,116
Acorn,0.05,"Now, they are taking money out of my account every month but I can’t get back into my Acorns account because it is “closed”.I have to verify with the email code and text msg code over 10 times.Acorns is a scam, their referral campaigns are scams, and I wouldn’t recommend using them.This is terrrible don’t waste ur time here go to robinhood.The app is amazing for beginner investors and long term investments.Shout out to Ashton for making this app so easy to navigate.Great functionality, but doesn’t integrate well with other financial apps like Mint.The customer support is extremely rude and unprofessional.This is very frustrating and I advise everyone who is investing in acorns TO BE CAREFUL.",beginner investors and long term investments,money out of my account;verify with the email code and text msg;referral campaigns;integrate well with other financial apps like Mint;customer support,,6,0.05,132,120
Calm,0.04918032786885246,"I also love the sleep meditations and stories that help me get to sleep.I got a free subscription from Fitbit and only used it because it was free.The playlists you have are not set up for 30-45 minutes of story and then 8 hours of soundscapes.I love the dailies with Tamara, Jeff and Jay.U guys are adored (every single one of u)!The Campfire soundscape does a great job of that, why can’t more of the soundscapes be like that?PLEASE allow users to delete unwanted stories!!!!!I use it when I’m doing my DIY SPA DAY & facial.And also intestines me too Jay Shetty and so many other amazing creators.However, with the new update, the daily check-in font is too small.",sleep meditations and stories;dailies;soundscape,unwanted stories;daily check-in font;playlists,,6,0.04918032786885246,140,122
Headspace,0.04310344827586207,"I understand they need to make money off the app, but it just doesn’t feel like I can use it like I used to.The 20 minute guided meditation is just the 3 minute guided meditation with 17 silent minutes stuffed in between sections.Headspace is a fabulous app for meditation practice and mindfulness practice.Also I think there should be 30 min - 45 min meditations.I have been a subscriber for years and pay monthly subscription.Not free so how df am I gonna use itK so I’m 9 yrs old and I rly want 2 do meditation but guess WaT!?!?!?People say it’s “oh like duh 40 minute videos bla bla bla”!Also, the scripts for the meditations are riddled with sentence fragments.",,guided meditation;scripts for the meditations;Not free,30 min - 45 min meditations;practice,5,0.04310344827586207,140,116
